fpr,tpr,type
0.577868852,0.713114754,copy-paste
0.594262295,0.713114754,copy-paste
0.594262295,0.717213115,copy-paste
0.606557377,0.717213115,copy-paste
0.606557377,0.725409836,copy-paste
0.606557377,0.737704918,copy-paste
0.614754098,0.737704918,copy-paste
0.62704918,0.737704918,copy-paste
0.631147541,0.737704918,copy-paste
0.639344262,0.737704918,copy-paste
0.643442623,0.737704918,copy-paste
0.643442623,0.741803279,copy-paste
0.647540984,0.745901639,copy-paste
0.655737705,0.745901639,copy-paste
0.655737705,0.754098361,copy-paste
0.659836066,0.754098361,copy-paste
0.659836066,0.762295082,copy-paste
0.663934426,0.762295082,copy-paste
0.663934426,0.766393443,copy-paste
0.676229508,0.766393443,copy-paste
0.676229508,0.774590164,copy-paste
0.680327869,0.774590164,copy-paste
0.680327869,0.782786885,copy-paste
0.68442623,0.786885246,copy-paste
0.68442623,0.795081967,copy-paste
0.68852459,0.795081967,copy-paste
0.68852459,0.803278689,copy-paste
0.704918033,0.803278689,copy-paste
0.709016393,0.803278689,copy-paste
0.717213115,0.807377049,copy-paste
0.721311475,0.81557377,copy-paste
0.725409836,0.81557377,copy-paste
0.725409836,0.823770492,copy-paste
0.729508197,0.823770492,copy-paste
0.733606557,0.848360656,copy-paste
0.741803279,0.848360656,copy-paste
0.745901639,0.848360656,copy-paste
0.745901639,0.856557377,copy-paste
0.75,0.856557377,copy-paste
0.754098361,0.864754098,copy-paste
0.766393443,0.864754098,copy-paste
0.770491803,0.864754098,copy-paste
0.770491803,0.868852459,copy-paste
0.774590164,0.868852459,copy-paste
0.774590164,0.87295082,copy-paste
0.778688525,0.87295082,copy-paste
0.778688525,0.87704918,copy-paste
0.778688525,0.885245902,copy-paste
0.786885246,0.885245902,copy-paste
0.795081967,0.885245902,copy-paste
0.803278689,0.885245902,copy-paste
0.803278689,0.889344262,copy-paste
0.81147541,0.889344262,copy-paste
0.819672131,0.889344262,copy-paste
0.819672131,0.897540984,copy-paste
0.827868852,0.897540984,copy-paste
0.827868852,0.909836066,copy-paste
0.836065574,0.909836066,copy-paste
0.840163934,0.909836066,copy-paste
0.852459016,0.909836066,copy-paste
0.852459016,0.913934426,copy-paste
0.868852459,0.913934426,copy-paste
0.87295082,0.918032787,copy-paste
0.87295082,0.922131148,copy-paste
0.881147541,0.922131148,copy-paste
0.881147541,0.926229508,copy-paste
0.881147541,0.93852459,copy-paste
0.881147541,0.950819672,copy-paste
0.889344262,0.950819672,copy-paste
0.889344262,0.959016393,copy-paste
0.893442623,0.959016393,copy-paste
0.893442623,0.967213115,copy-paste
0.905737705,0.967213115,copy-paste
0.905737705,0.971311475,copy-paste
0.909836066,0.975409836,copy-paste
0.913934426,0.975409836,copy-paste
0.913934426,0.983606557,copy-paste
0.913934426,0.991803279,copy-paste
0.930327869,0.991803279,copy-paste
0.930327869,0.995901639,copy-paste
0.959016393,0.995901639,copy-paste
0.959016393,1,copy-paste
1,1,copy-paste
